organism,reads,rate,time
ecoli,5000,1.506993867547224,0.4878551959991455
ecoli,10000,1.8747650481450833,0.9236443042755127
ecoli,20000,2.4791279814903326,1.700801134109497
ecoli,40000,3.19186094091844,3.5829989910125732
ecoli,80000,3.917172369162543,6.43484091758728
ecoli,120000,4.393189451564508,11.186533212661743
human,50000,1.5754148743936778,4.263880729675293
human,100000,1.7634612774731488,8.189586877822876
human,200000,1.9856366440102724,18.49324607849121
human,400000,2.188776965016095,35.18754768371582
human,800000,2.161889566471472,68.12257814407349
human,1200000,2.2029708295367345,99.45089101791382
mix,877178,1.2370819326788625,39.46616744995117
