file;compression rate;kmer size
5x;1.2173;2
5x;1.2466;3
5x;1.3116;4
5x;1.4479;5
5x;1.5900;6
5x;1.4362;7
5x;1.2304;8
5x;1.1689;9
5x;1.1515;10
10x;1.2230;2
10x;1.2605;3
10x;1.3409;4
10x;1.6167;5
10x;1.8883;6
10x;1.5643;7
10x;1.2933;8
10x;1.1812;9
10x;1.1647;10
20x;1.2614;2
20x;1.2876;3
20x;1.4649;4
20x;1.7935;5
20x;2.2031;6
20x;1.7743;7
20x;1.3419;8
20x;1.2094;9
20x;1.1771;10
40x;1.2576;2
40x;1.2837;3
40x;1.4183;4
40x;1.7643;5
40x;2.4662;6
40x;1.8728;7
40x;1.3679;8
40x;1.2150;9
40x;1.1775;10
80x;1.2635;2
80x;1.2880;3
80x;1.4125;4
80x;1.7301;5
80x;2.6240;6
80x;2.0302;7
80x;1.4379;8
80x;1.2378;9
80x;1.1828;10
120x;1.2569;2
120x;1.3183;3
120x;1.4592;4
120x;1.8225;5
120x;2.7710;6
120x;2.0401;7
120x;1.4096;8
120x;1.2310;9
120x;1.1783;10
